Date	Time (UTC)	H (nT)	By (nT)	Bz (nT)
2026/06/14	00:00:00	107.02	8566.40	-57078.38
2026/06/14	00:00:01	107.02	8566.41	-57078.35
2026/06/14	00:00:02	107.01	8566.42	-57078.31
2026/06/14	00:00:03	107.02	8566.42	-57078.28
2026/06/14	00:00:04	107.02	8566.42	-57078.27
2026/06/14	00:00:05	106.99	8566.37	-57078.27
2026/06/14	00:00:06	106.98	8566.36	-57078.27
2026/06/14	00:00:07	106.96	8566.37	-57078.26
2026/06/14	00:00:08	106.98	8566.37	-57078.25
2026/06/14	00:00:09	106.97	8566.35	-57078.25
2026/06/14	00:00:10	106.97	8566.32	-57078.24
2026/06/14	00:00:11	106.96	8566.30	-57078.23
2026/06/14	00:00:12	106.98	8566.28	-57078.21
2026/06/14	00:00:13	107.03	8566.32	-57078.21
2026/06/14	00:00:14	106.98	8566.30	-57078.21
2026/06/14	00:00:15	107.01	8566.32	-57078.18
2026/06/14	00:00:16	107.06	8566.37	-57078.17
2026/06/14	00:00:17	107.10	8566.41	-57078.14
2026/06/14	00:00:18	107.16	8566.49	-57078.10
2026/06/14	00:00:19	107.21	8566.56	-57078.07
2026/06/14	00:00:20	107.28	8566.58	-57078.03
2026/06/14	00:00:21	107.31	8566.57	-57077.99
2026/06/14	00:00:22	107.35	8566.56	-57077.98
2026/06/14	00:00:23	107.39	8566.54	-57077.96
2026/06/14	00:00:24	107.40	8566.51	-57077.92
2026/06/14	00:00:25	107.44	8566.53	-57077.90
2026/06/14	00:00:26	107.45	8566.51	-57077.89
2026/06/14	00:00:27	107.43	8566.48	-57077.88
2026/06/14	00:00:28	107.46	8566.49	-57077.85
2026/06/14	00:00:29	107.50	8566.49	-57077.85
2026/06/14	00:00:30	107.50	8566.48	-57077.84
2026/06/14	00:00:31	107.53	8566.49	-57077.83
2026/06/14	00:00:32	107.54	8566.52	-57077.79
2026/06/14	00:00:33	107.56	8566.56	-57077.76
2026/06/14	00:00:34	107.57	8566.60	-57077.74
2026/06/14	00:00:35	107.58	8566.63	-57077.71
2026/06/14	00:00:36	107.56	8566.60	-57077.69
2026/06/14	00:00:37	107.54	8566.60	-57077.68
2026/06/14	00:00:38	107.53	8566.59	-57077.66
2026/06/14	00:00:39	107.49	8566.54	-57077.64
2026/06/14	00:00:40	107.46	8566.45	-57077.68
2026/06/14	00:00:41	107.40	8566.37	-57077.70
2026/06/14	00:00:42	107.38	8566.31	-57077.72
2026/06/14	00:00:43	107.38	8566.28	-57077.74
2026/06/14	00:00:44	107.36	8566.21	-57077.76
2026/06/14	00:00:45	107.36	8566.18	-57077.77
2026/06/14	00:00:46	107.38	8566.16	-57077.78
2026/06/14	00:00:47	107.39	8566.17	-57077.77
2026/06/14	00:00:48	107.47	8566.21	-57077.74
2026/06/14	00:00:49	107.50	8566.17	-57077.71
2026/06/14	00:00:50	107.49	8566.19	-57077.73
2026/06/14	00:00:51	107.53	8566.22	-57077.71
2026/06/14	00:00:52	107.58	8566.24	-57077.68
2026/06/14	00:00:53	107.64	8566.26	-57077.65
2026/06/14	00:00:54	107.71	8566.29	-57077.62
2026/06/14	00:00:55	107.77	8566.26	-57077.61
2026/06/14	00:00:56	107.80	8566.22	-57077.58
2026/06/14	00:00:57	107.81	8566.16	-57077.56
2026/06/14	00:00:58	107.81	8566.11	-57077.54
2026/06/14	00:00:59	107.79	8566.08	-57077.53
2026/06/14	00:01:00	107.74	8566.04	-57077.54
2026/06/14	00:01:01	107.71	8566.06	-57077.54
2026/06/14	00:01:02	107.69	8566.08	-57077.57
2026/06/14	00:01:03	107.66	8566.07	-57077.58
2026/06/14	00:01:04	107.68	8566.08	-57077.57
2026/06/14	00:01:05	107.69	8566.08	-57077.55
2026/06/14	00:01:06	107.72	8566.07	-57077.54
2026/06/14	00:01:07	107.72	8566.06	-57077.54
2026/06/14	00:01:08	107.77	8566.04	-57077.53
2026/06/14	00:01:09	107.82	8566.05	-57077.50
2026/06/14	00:01:10	107.83	8566.00	-57077.50
2026/06/14	00:01:11	107.87	8565.97	-57077.47
2026/06/14	00:01:12	107.91	8566.00	-57077.43
2026/06/14	00:01:13	107.96	8566.02	-57077.38
2026/06/14	00:01:14	107.97	8565.97	-57077.37
2026/06/14	00:01:15	107.96	8566.00	-57077.35
2026/06/14	00:01:16	107.93	8566.07	-57077.35
