Date	Time (UTC)	H (nT)	By (nT)	Bz (nT)
2026/06/14	00:00:00	311.50	357.02	-53785.70
2026/06/14	00:00:01	311.51	356.98	-53785.75
2026/06/14	00:00:02	311.52	356.95	-53785.93
2026/06/14	00:00:03	311.48	356.91	-53786.04
2026/06/14	00:00:04	311.41	356.92	-53786.07
2026/06/14	00:00:05	311.38	356.94	-53786.01
2026/06/14	00:00:06	311.33	356.98	-53785.88
2026/06/14	00:00:07	311.26	357.12	-53785.91
2026/06/14	00:00:08	311.21	357.24	-53786.01
2026/06/14	00:00:09	311.13	357.19	-53786.06
2026/06/14	00:00:10	311.08	357.16	-53786.18
2026/06/14	00:00:11	311.12	357.24	-53786.28
2026/06/14	00:00:12	311.13	357.30	-53786.20
2026/06/14	00:00:13	310.99	357.29	-53786.07
2026/06/14	00:00:14	310.98	357.22	-53786.07
2026/06/14	00:00:15	311.18	357.11	-53786.18
2026/06/14	00:00:16	311.29	356.97	-53786.15
2026/06/14	00:00:17	311.33	356.80	-53785.99
2026/06/14	00:00:18	311.48	356.77	-53786.03
2026/06/14	00:00:19	311.54	356.79	-53786.17
2026/06/14	00:00:20	311.43	356.72	-53786.17
2026/06/14	00:00:21	311.42	356.73	-53786.14
2026/06/14	00:00:22	311.49	356.88	-53786.18
2026/06/14	00:00:23	311.50	356.98	-53786.24
2026/06/14	00:00:24	311.49	357.04	-53786.31
2026/06/14	00:00:25	311.54	357.17	-53786.36
2026/06/14	00:00:26	311.62	357.24	-53786.38
2026/06/14	00:00:27	311.66	357.21	-53786.41
2026/06/14	00:00:28	311.72	357.22	-53786.39
2026/06/14	00:00:29	311.76	357.24	-53786.31
2026/06/14	00:00:30	311.77	357.21	-53786.23
2026/06/14	00:00:31	311.91	357.24	-53786.27
2026/06/14	00:00:32	312.13	357.27	-53786.33
2026/06/14	00:00:33	312.21	357.14	-53786.25
2026/06/14	00:00:34	312.21	357.01	-53786.20
2026/06/14	00:00:35	312.22	356.99	-53786.21
2026/06/14	00:00:36	312.18	356.93	-53786.12
2026/06/14	00:00:37	312.11	356.94	-53786.04
2026/06/14	00:00:38	312.09	357.10	-53786.07
2026/06/14	00:00:39	312.00	357.20	-53786.10
2026/06/14	00:00:40	311.77	357.21	-53786.08
2026/06/14	00:00:41	311.62	357.35	-53786.10
2026/06/14	00:00:42	311.58	357.43	-53786.16
2026/06/14	00:00:43	311.43	357.28	-53786.16
2026/06/14	00:00:44	311.38	357.24	-53786.14
2026/06/14	00:00:45	311.45	357.30	-53786.15
2026/06/14	00:00:46	311.45	357.27	-53786.17
2026/06/14	00:00:47	311.50	357.32	-53786.17
2026/06/14	00:00:48	311.60	357.50	-53786.24
2026/06/14	00:00:49	311.68	357.62	-53786.36
2026/06/14	00:00:50	311.70	357.64	-53786.38
2026/06/14	00:00:51	311.67	357.60	-53786.33
2026/06/14	00:00:52	311.68	357.60	-53786.35
2026/06/14	00:00:53	311.75	357.66	-53786.40
2026/06/14	00:00:54	311.75	357.66	-53786.41
2026/06/14	00:00:55	311.72	357.63	-53786.40
2026/06/14	00:00:56	311.73	357.73	-53786.48
2026/06/14	00:00:57	311.75	357.87	-53786.58
2026/06/14	00:00:58	311.71	357.87	-53786.55
